id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
3738130;Chambre individuelle deux personnes;19109255;Tony;Bordeaux;Bordeaux Maritime;44.88067840293476;-0.5721152290810041;Private room;21;1;199;05/09/2018;4.00;1;312
3753674;Campagne,jacuzzi,piscine,bien être!;19160776;Celine Et Christophe;Merignac;Chemin Long;44.819208873194654;-0.6612146420133503;Entire home/apt;395;2;18;04/06/2018;0.37;1;26
3755668;chambre chez l'habitant - Bordeaux;19224420;Delphine;Bordeaux;Bordeaux Sud;44.831962071880206;-0.5615532683085311;Private room;16;14;12;31/07/2016;0.24;1;0
3757983;Maison Familiale;19238241;Romain;Ambars-et-Lagrave;Ambars-et-Lagrave;44.94160915568974;-0.48397558290234094;Entire home/apt;290;1;0;;;1;0
3761833;Chambre+salle d'eau privée dans échoppe Bordelaise;7623832;Pierre;Bordeaux;Nansouty - Saint Gens;44.81176162563846;-0.5726847223321031;Private room;49;2;16;14/09/2018;0.34;2;317
3770889;Maison avec grande terrasse, jardin et parking;12703127;Fabienne;Carbon-Blanc;Carbon-Blanc;44.89919988201691;-0.5028715608644372;Entire home/apt;90;6;0;;;1;76
3778397;T2 48m² Parking Balcon Piscine ;19378804;Vincent;Bordeaux;Bordeaux Maritime;44.86614876641078;-0.5708548360681984;Entire home/apt;47;3;0;;;1;0
3779078;Charmant studio Bordeaux centre;15101678;Benjamin;Bordeaux;Saint Augustin - Tauzin - Alphonse Dupeux;44.833664440759705;-0.5782380533595448;Entire home/apt;33;15;93;30/08/2017;1.86;2;198
3784508; Studio in the inner city;13364713;Thierry;Bordeaux;Bordeaux Sud;44.82832348500373;-0.574203787931689;Entire home/apt;36;7;270;01/08/2017;5.43;6;0
3789030;"Studio quartier ""Triangle d'or""";19447705;Aurélie;Bordeaux;Centre ville (Bordeaux);44.84201221165893;-0.5804176590484841;Entire home/apt;32;2;134;20/08/2018;2.70;1;14
3791840;Calm sea in the heart of Bordeaux;6535925;Damien;Bordeaux;Nansouty - Saint Gens;44.82927616055938;-0.5770586316391084;Entire home/apt;55;2;64;04/09/2016;1.29;2;257
3799160;Chambre de charme au coeur des chartrons;17162144;Magali;Bordeaux;Chartrons - Grand Parc - Jardin Public;44.8497144100116;-0.5727018067325473;Private room;75;1;25;10/10/2017;0.59;1;350
3805868;Lovely flat in center + breakfast + shady terrace;12282673;Christine;Bordeaux;Centre ville (Bordeaux);44.8459224304093;-0.5807659313173252;Entire home/apt;53;2;2;18/04/2017;0.10;1;13
3810262;Stone Walls Studio Place la Bourse;12595418;Laurence & Jean-Michel;Bordeaux;Centre ville (Bordeaux);44.83983034751849;-0.569998760682755;Entire home/apt;50;3;76;27/08/2018;1.60;3;87
